iter	Accuracy	Logloss
0	0.6710463793	0.6791933704
1	0.6725608026	0.6675344422
2	0.6709436987	0.6587430394
3	0.6710165859	0.6517001822
4	0.6708708116	0.6465069837
5	0.6712498247	0.641476727
6	0.6715705282	0.6378479837
7	0.6715413733	0.634886864
8	0.6715267959	0.6323260882
9	0.6715267959	0.6304421458
10	0.6715122185	0.6289339892
11	0.6714393313	0.6273741249
12	0.6714101765	0.6259649767
13	0.671395599	0.6249908634
14	0.671395599	0.6237560132
15	0.6714393313	0.6230110561
16	0.6714247539	0.6220649544
17	0.6714247539	0.6212293899
18	0.6717116562	0.6203282437
19	0.6724889062	0.6194096683
20	0.6739327103	0.6185379768
21	0.6747549697	0.6179160354
22	0.6757614509	0.6173453284
23	0.6775849067	0.6164666721
24	0.6777942756	0.6158083555
25	0.6782607533	0.6151720685
26	0.6783965965	0.6140303027
27	0.6783528642	0.6135985607
28	0.679077728	0.6131478064
29	0.679014772	0.6127858688
30	0.679524982	0.6122447443
31	0.6794865346	0.6110325591
32	0.6801040715	0.6107616676
33	0.6811204838	0.6103117035
34	0.6810913289	0.609707103
35	0.6812125947	0.6090170189
36	0.6816704184	0.6084764015
37	0.6816704184	0.6079301606
38	0.6827584407	0.6074448441
39	0.6828213967	0.6066478512
40	0.6832394959	0.6061151877
41	0.6833852702	0.6054418174
42	0.6853445691	0.6047379331
43	0.685475766	0.6042131072
44	0.685758022	0.6037446612
45	0.6866280214	0.6030363001
46	0.6866571763	0.6025116523
47	0.6868811226	0.601964692
48	0.686832744	0.6016227455
49	0.686934786	0.6007276574
50	0.6872700669	0.5999867638
51	0.6874403498	0.5994968107
52	0.6874257723	0.5988032123
53	0.6874800744	0.5985207987
54	0.6874462732	0.5981855757
55	0.6881214813	0.5973388631
56	0.6887012093	0.5967715893
57	0.6888119053	0.5962760964
58	0.6892445819	0.5959890921
59	0.6892690905	0.5956701965
60	0.6906638773	0.5948428969
61	0.6907367645	0.5942863286
62	0.6907122559	0.5939370297
63	0.6907904279	0.5937114851
64	0.6908679614	0.5929478423
65	0.6909554259	0.5926666775
66	0.6912588215	0.592352735
67	0.6913277009	0.5918320179
68	0.6915224924	0.591399489
69	0.6916450353	0.5909555299
70	0.691703345	0.5906691616
71	0.691922645	0.5900853466
72	0.6924288474	0.5893632954
73	0.6927641282	0.588872867
74	0.6933803879	0.5883108645
75	0.6935937645	0.5879989553
76	0.6934923611	0.5871471786
77	0.6936871525	0.5867596652
78	0.6940794659	0.5864356348
79	0.6945856682	0.5860229801
80	0.6950707311	0.5857311923
81	0.6952165054	0.5853732173
82	0.6954258742	0.5851452857
83	0.6963734071	0.5846031049
84	0.6975886186	0.5837790884
85	0.698152492	0.5830996196
86	0.6984440406	0.5824306945
87	0.6984148857	0.5818900037
88	0.6987262966	0.5814889947
89	0.6992219292	0.5810639536
90	0.6994458755	0.5805030751
91	0.6996791144	0.5801425852
92	0.6996843993	0.5797916923
93	0.7007935611	0.5791448641
94	0.7012355302	0.5787664522
95	0.7013335645	0.5784437998
96	0.7028986343	0.5776791793
97	0.7029814526	0.5772184613
98	0.7032928635	0.5766442391
99	0.7037394789	0.5757229611
100	0.7039587789	0.574631978
101	0.7042118801	0.574152318
102	0.7050533633	0.5733907092
103	0.705048717	0.5731180196
104	0.7058445521	0.5726242003
105	0.7058451907	0.5723362803
106	0.7062242039	0.5716629216
107	0.706485959	0.5713414239
108	0.7073466659	0.5704692883
109	0.7077157479	0.5700645881
110	0.7081285622	0.5691248312
111	0.7082306042	0.5687621729
112	0.7089786993	0.5681922388
113	0.7091688445	0.5676982809
114	0.709814259	0.5669997218
115	0.7099984807	0.5662698859
116	0.7105086907	0.5654870288
117	0.7107810156	0.5647384561
118	0.7120306668	0.5638555688
119	0.7127840468	0.5631670426
120	0.712998062	0.5627265654
121	0.7132465169	0.5622006642
122	0.713547358	0.5619269312
123	0.7144948909	0.5611521656
124	0.7150819957	0.5606895038
125	0.7152867183	0.5604258493
126	0.7155451044	0.5599453312
127	0.7155987678	0.5595494857
128	0.7157160258	0.5591273366
129	0.7159346873	0.5588021302
130	0.7158717313	0.5585368433
131	0.7166251113	0.5578887566
132	0.7170624342	0.5575838045
133	0.7169948319	0.5568612542
134	0.71813251	0.5560950942
135	0.7182928617	0.5557134058
136	0.7188567351	0.555231869
137	0.71988244	0.5543709217
138	0.72063582	0.5537722101
139	0.7208306115	0.5533140946
140	0.7213023741	0.5524995199
141	0.7215554753	0.5521068783
142	0.7220511078	0.5517503006
143	0.7224155436	0.5511134571
144	0.7232756119	0.5498964005
145	0.723465757	0.5493073855
146	0.7238063228	0.5488662023
147	0.7244967468	0.5483491462
148	0.7255218131	0.5477845888
149	0.7256046314	0.5471505881
150	0.7259008263	0.5466515489
151	0.7261049103	0.5463877578
152	0.7268880837	0.5455023032
153	0.72740294	0.5449143603
154	0.7274737353	0.5441676411
155	0.7280714099	0.5435953765
156	0.7281635207	0.5432362901
157	0.7291535087	0.5427734338
158	0.7299692061	0.5419213969
159	0.7301342041	0.5415751891
160	0.7307855421	0.5408096875
161	0.7314753276	0.5400773056
162	0.7314567424	0.5397684564
163	0.7316170942	0.5394533404
164	0.7322492085	0.5389026135
165	0.7326818851	0.5383875082
166	0.7333915328	0.537752016
167	0.7340230085	0.5369983001
168	0.7344603314	0.5362768262
169	0.7348346983	0.5358628171
170	0.7357199137	0.5348987906
171	0.7360896343	0.5344617508
172	0.736273856	0.5341552836
173	0.7367893509	0.5335350535
174	0.7373001995	0.5330049275
175	0.7377275913	0.5327502744
176	0.7378442107	0.5321712654
177	0.7380774495	0.5318261079
178	0.7382378013	0.5315422407
179	0.7384127304	0.5312218504
180	0.7389666727	0.5304670042
181	0.7390978696	0.5300234689
182	0.7399247753	0.5292485681
183	0.739983085	0.52891616
184	0.7400029474	0.5286831108
185	0.7410041437	0.5278659184
186	0.7411797114	0.5275716442
187	0.7414904837	0.5270873721
188	0.7418787894	0.5267360916
189	0.7421504757	0.5265005337
190	0.7431271634	0.526062406
191	0.7434869528	0.5256709559
192	0.7439885089	0.5251059475
193	0.7441972392	0.5244955233
194	0.7447458966	0.5240706396
195	0.7448916709	0.5237643117
196	0.7452123743	0.5232317795
197	0.7460386415	0.5227326653
198	0.7461406835	0.5224493221
199	0.7461844158	0.5222989989
200	0.746413647	0.5216168362
201	0.746515689	0.5212820373
202	0.7464673104	0.521098664
203	0.7467734364	0.5209769645
204	0.7470504076	0.520497474
205	0.7472988625	0.519938756
206	0.7484219631	0.5192073135
207	0.7489613279	0.5189679617
208	0.74930654	0.5186011453
209	0.749879706	0.5181759809
210	0.7509485045	0.5175231049
211	0.7514149823	0.5169854157
212	0.7515852651	0.51634833
213	0.7518430126	0.5159098935
214	0.75212463	0.515598517
