iter	Passed	Remaining
0	4	3237
1	8	2853
2	11	2642
3	14	2514
4	18	2534
5	21	2519
6	25	2508
7	28	2499
8	32	2475
9	35	2459
10	39	2443
11	42	2425
12	46	2437
13	49	2429
14	52	2413
15	56	2398
16	59	2395
17	62	2379
18	66	2387
19	69	2378
20	73	2370
21	76	2362
22	79	2352
23	83	2355
24	86	2345
25	90	2341
26	93	2341
27	97	2333
28	100	2324
29	103	2309
30	106	2299
31	109	2292
32	113	2285
33	116	2285
34	119	2278
35	123	2271
36	126	2265
37	129	2259
38	132	2252
39	136	2253
40	140	2252
41	143	2255
42	146	2242
43	150	2241
44	153	2240
45	156	2230
46	160	2225
47	163	2218
48	166	2216
49	169	2209
50	172	2199
51	176	2196
52	179	2189
53	182	2186
54	185	2177
55	188	2168
56	191	2161
57	194	2153
58	197	2148
59	201	2148
60	204	2144
61	208	2140
62	211	2135
63	214	2130
64	217	2128
65	221	2124
66	224	2118
67	227	2115
68	230	2110
69	234	2106
70	237	2104
71	240	2098
72	243	2093
73	246	2088
74	249	2082
75	253	2078
76	256	2072
77	259	2067
78	262	2061
79	265	2057
80	268	2054
81	271	2049
82	275	2046
83	278	2039
84	281	2034
85	284	2033
86	287	2028
87	291	2025
88	294	2020
89	297	2017
90	300	2010
91	303	2003
92	306	2000
93	309	1995
94	312	1992
95	316	1990
96	319	1986
97	322	1981
98	325	1976
99	328	1972
100	331	1968
101	334	1962
102	338	1959
103	341	1956
104	344	1954
105	347	1949
106	351	1946
107	354	1942
108	357	1939
109	360	1935
110	364	1931
111	367	1928
112	370	1923
113	373	1920
114	376	1916
115	379	1912
116	383	1910
117	386	1906
118	389	1903
119	393	1901
120	396	1898
121	399	1893
122	402	1890
123	406	1886
124	409	1883
125	412	1879
126	415	1876
127	419	1872
128	422	1868
129	425	1864
130	428	1859
131	431	1856
132	434	1853
133	438	1851
134	441	1848
135	444	1845
136	447	1840
137	451	1837
138	454	1834
139	457	1831
140	461	1829
141	464	1825
142	467	1822
143	470	1818
144	474	1814
145	477	1811
146	481	1809
147	484	1805
148	487	1802
149	490	1799
150	494	1797
151	497	1794
152	500	1790
153	504	1787
154	507	1784
155	510	1781
156	514	1777
157	517	1774
158	520	1771
159	523	1766
160	526	1763
161	530	1761
162	533	1756
163	536	1754
164	539	1749
165	543	1747
166	546	1743
167	549	1739
168	552	1735
169	555	1732
170	559	1729
171	562	1726
172	565	1723
173	569	1721
174	572	1717
175	575	1714
176	579	1710
177	582	1708
178	585	1705
179	589	1702
180	592	1699
181	595	1695
182	599	1692
183	602	1688
184	605	1685
185	608	1681
186	611	1677
187	614	1674
188	618	1671
189	621	1668
190	624	1665
191	627	1661
192	631	1658
193	634	1655
194	637	1651
195	641	1648
196	644	1644
197	647	1642
198	650	1638
199	653	1634
200	657	1631
201	660	1628
202	663	1625
203	667	1621
204	670	1618
205	673	1614
206	676	1611
207	680	1608
208	683	1605
209	686	1601
210	689	1597
211	692	1593
212	695	1589
213	698	1587
214	701	1583
215	704	1579
216	708	1576
217	711	1573
218	714	1569
219	717	1566
220	721	1563
221	724	1559
222	727	1556
223	730	1552
224	733	1548
225	736	1545
226	740	1542
227	743	1538
228	746	1534
229	748	1530
230	752	1527
231	755	1524
232	758	1520
233	762	1517
234	765	1514
235	769	1512
236	773	1511
237	777	1509
238	782	1509
239	786	1506
240	789	1503
241	792	1500
242	795	1496
243	799	1493
244	802	1490
245	805	1487
246	809	1483
247	811	1479
248	814	1475
249	818	1472
250	821	1469
251	824	1465
252	827	1462
253	830	1459
254	834	1455
255	837	1452
256	840	1449
257	843	1445
258	846	1442
259	850	1438
260	853	1436
261	856	1432
262	859	1428
263	863	1425
264	866	1422
265	869	1419
266	873	1415
267	876	1412
268	879	1408
269	882	1406
270	885	1402
271	889	1399
272	892	1395
273	895	1392
274	898	1388
275	901	1385
276	905	1382
277	909	1380
278	912	1376
279	915	1373
280	919	1370
281	922	1366
282	925	1363
283	928	1359
284	931	1356
285	934	1352
286	938	1349
287	941	1346
288	944	1342
289	947	1339
290	950	1336
291	953	1332
292	957	1329
293	960	1325
294	963	1322
295	966	1319
296	969	1315
297	972	1311
298	975	1308
299	978	1304
300	981	1301
301	985	1298
302	988	1295
303	992	1292
304	995	1289
305	998	1285
306	1001	1282
307	1005	1279
308	1008	1275
309	1011	1271
310	1014	1268
311	1017	1264
312	1020	1261
313	1023	1258
314	1026	1255
315	1030	1251
316	1033	1248
317	1036	1245
318	1039	1241
319	1043	1238
320	1046	1235
321	1049	1231
322	1052	1228
323	1055	1225
324	1058	1221
325	1061	1218
326	1065	1215
327	1068	1211
328	1072	1208
329	1075	1205
330	1078	1201
331	1081	1198
332	1084	1194
333	1087	1191
334	1090	1188
335	1093	1184
336	1096	1181
337	1099	1177
338	1102	1174
339	1105	1170
340	1108	1167
341	1111	1164
342	1115	1160
343	1118	1157
344	1121	1154
345	1124	1150
346	1127	1147
347	1130	1143
348	1134	1140
349	1137	1137
350	1140	1134
351	1143	1130
352	1147	1127
353	1149	1123
354	1153	1120
355	1156	1117
356	1159	1114
357	1162	1110
358	1166	1107
359	1169	1104
360	1172	1101
361	1175	1097
362	1179	1094
363	1182	1091
364	1185	1087
365	1188	1084
366	1191	1081
367	1194	1077
368	1198	1074
369	1200	1071
370	1204	1067
371	1207	1064
372	1210	1060
373	1213	1057
374	1216	1054
375	1219	1051
376	1223	1047
377	1225	1044
378	1229	1041
379	1232	1037
380	1235	1034
381	1238	1030
382	1241	1027
383	1244	1023
384	1247	1020
385	1250	1016
386	1253	1013
387	1256	1010
388	1259	1007
389	1262	1003
390	1265	1000
391	1269	997
392	1272	993
393	1275	990
394	1278	987
395	1282	984
396	1285	981
397	1288	977
398	1291	974
399	1295	971
400	1298	968
401	1301	965
402	1305	961
403	1308	958
404	1311	955
405	1314	951
406	1317	948
407	1320	945
408	1323	941
409	1326	938
410	1330	935
411	1333	931
412	1336	928
413	1339	925
414	1342	922
415	1346	918
416	1349	915
417	1352	912
418	1355	909
419	1358	905
420	1361	902
421	1364	899
422	1368	895
423	1371	892
424	1374	889
425	1377	886
426	1380	882
427	1383	879
428	1386	876
429	1389	872
430	1393	869
431	1396	866
432	1399	862
433	1402	859
434	1405	856
435	1408	852
436	1411	849
437	1414	846
438	1418	843
439	1421	840
440	1424	836
441	1428	833
442	1430	830
443	1433	826
444	1437	823
445	1440	820
446	1443	817
447	1447	813
448	1450	810
449	1453	807
450	1456	804
451	1459	800
452	1462	797
453	1466	794
454	1469	791
455	1472	787
456	1475	784
457	1479	781
458	1482	778
459	1486	775
460	1489	772
461	1492	769
462	1496	765
463	1499	762
464	1502	759
465	1505	756
466	1508	752
467	1512	749
468	1515	746
469	1518	743
470	1522	740
471	1525	736
472	1528	733
473	1532	730
474	1535	727
475	1538	723
476	1541	720
477	1544	717
478	1547	713
479	1550	710
480	1554	707
481	1556	704
482	1559	700
483	1563	697
484	1566	694
485	1569	691
486	1572	687
487	1576	684
488	1579	681
489	1582	678
490	1586	675
491	1589	672
492	1592	668
493	1595	665
494	1598	662
495	1602	658
496	1605	655
497	1608	652
498	1611	649
499	1614	645
500	1618	642
501	1621	639
502	1624	636
503	1627	632
504	1630	629
505	1633	626
506	1637	623
507	1640	619
508	1643	616
509	1646	613
510	1650	610
511	1653	607
512	1656	603
513	1659	600
514	1662	597
515	1665	594
516	1669	590
517	1672	587
518	1675	584
519	1678	581
520	1681	577
521	1684	574
522	1687	571
523	1690	567
524	1694	564
525	1697	561
526	1700	558
527	1703	555
528	1706	551
529	1710	548
530	1713	545
531	1716	541
532	1719	538
533	1722	535
534	1726	532
535	1729	529
536	1732	525
537	1735	522
538	1738	519
539	1742	516
540	1745	512
541	1748	509
542	1751	506
543	1755	503
544	1758	500
545	1761	496
546	1764	493
547	1767	490
548	1771	487
549	1774	484
550	1777	480
551	1781	477
552	1784	474
553	1788	471
554	1791	468
555	1794	464
556	1797	461
557	1801	458
558	1804	455
559	1807	451
560	1811	448
561	1815	445
562	1818	442
563	1821	439
564	1825	436
565	1828	432
566	1832	429
567	1835	426
568	1839	423
569	1842	420
570	1846	417
571	1849	413
572	1852	410
573	1855	407
574	1859	404
575	1862	400
576	1865	397
577	1868	394
578	1871	391
579	1875	387
580	1878	384
581	1881	381
582	1885	378
583	1888	375
584	1891	371
585	1894	368
586	1897	365
587	1900	362
588	1904	358
589	1907	355
590	1910	352
591	1913	349
592	1917	345
593	1920	342
594	1923	339
595	1927	336
596	1930	333
597	1933	329
598	1936	326
599	1939	323
600	1943	320
601	1946	316
602	1949	313
603	1952	310
604	1956	307
605	1959	303
606	1963	300
607	1966	297
608	1969	294
609	1972	291
610	1975	287
611	1978	284
612	1982	281
613	1985	278
614	1988	274
615	1991	271
616	1995	268
617	1998	265
618	2001	261
619	2004	258
620	2007	255
621	2010	252
622	2013	248
623	2016	245
624	2020	242
625	2023	239
626	2027	236
627	2030	232
628	2033	229
629	2036	226
630	2039	223
631	2043	219
632	2046	216
633	2050	213
634	2053	210
635	2056	206
636	2059	203
637	2063	200
638	2066	197
639	2069	194
640	2072	190
641	2075	187
642	2079	184
643	2082	181
644	2085	177
645	2088	174
646	2091	171
647	2095	168
648	2098	164
649	2101	161
650	2105	158
651	2108	155
652	2111	151
653	2114	148
654	2118	145
655	2121	142
656	2124	139
657	2127	135
658	2130	132
659	2133	129
660	2137	126
661	2140	122
662	2143	119
663	2147	116
664	2150	113
